MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,SNR_dB,GroupLabel
global_only,Global-pooling variant,0.830452,0.5,0.434,0.0097,0.0007,0.00406666799588104,0.00602579161287311,20000,101,-10,SNR=-10 dB
global_only,Global-pooling variant,0.820024,0.416,0.31,0.0101,0.0007,0.00462614746087427,0.0066667442495722,20000,102,-10,SNR=-10 dB
global_only,Global-pooling variant,0.784868,0.46,0.432,0.0103,0.0017,0.00428929688814123,0.00601904975165976,20000,103,-10,SNR=-10 dB
global_only,Global-pooling variant,0.76356,0.422,0.376,0.01,0.001,0.00335052906427557,0.0045992210227919,20000,104,-10,SNR=-10 dB
global_only,Global-pooling variant,0.768852,0.414,0.362,0.01065,0.00115,0.00352156933036617,0.00513789330387211,20000,105,-10,SNR=-10 dB
uniform_weight,Uniform-weight variant,0.844452,0.504,0.488,0.00895,0.0006,0.0150580065368231,0.0189963553070149,20000,101,-10,SNR=-10 dB
uniform_weight,Uniform-weight variant,0.832688,0.44,0.396,0.00965,0.00075,0.0155378381014268,0.0195329570423732,20000,102,-10,SNR=-10 dB
uniform_weight,Uniform-weight variant,0.811908,0.466,0.442,0.01045,0.00075,0.0157030878049249,0.0198323768279596,20000,103,-10,SNR=-10 dB
uniform_weight,Uniform-weight variant,0.778012,0.404,0.382,0.0096,0.00195,0.0132320454316807,0.0158004354959143,20000,104,-10,SNR=-10 dB
uniform_weight,Uniform-weight variant,0.803088,0.428,0.384,0.0108,0.00095,0.0126146126687597,0.0167633920832977,20000,105,-10,SNR=-10 dB
full,Proposed detector,0.838528,0.502,0.476,0.0102,0.00115,0.031790053528735,0.0381039838495142,20000,101,-8,SNR=-8 dB
full,Proposed detector,0.8541,0.48,0.43,0.01115,0.00135,0.0247516359236542,0.0355709957501489,20000,102,-8,SNR=-8 dB
