MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,ParamName,ParamValue,GroupLabel
uniform_weight,Uniform-weight variant,0.793852,0.354,0.204,0.00945,0.00095,0.0269981853078699,0.0320606370782975,20000,101,topFrac,0.2,topFrac=0.2
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,topFrac,0.2,topFrac=0.2
full,Proposed detector,0.815772,0.38,0.264,0.0101,0.0012,0.0377959228346201,0.0451892982556204,20000,101,topFrac,0.3,topFrac=0.3
uniform_weight,Uniform-weight variant,0.802784,0.326,0.204,0.00945,0.0013,0.020277568662142,0.024104608245494,20000,101,topFrac,0.3,topFrac=0.3
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,topFrac,0.3,topFrac=0.3
full,Proposed detector,0.82152,0.368,0.226,0.00975,0.0013,0.0314906707189278,0.0389129410585499,20000,101,topFrac,0.4,topFrac=0.4
uniform_weight,Uniform-weight variant,0.80658,0.324,0.198,0.0099,0.0013,0.0162742692511834,0.0196521054417036,20000,101,topFrac,0.4,topFrac=0.4
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,topFrac,0.4,topFrac=0.4
full,Proposed detector,0.795104,0.434,0.402,0.00905,0.001,0.0472657647291981,0.0881506896881923,20000,102,topFrac,0.1,topFrac=0.1
uniform_weight,Uniform-weight variant,0.783416,0.418,0.396,0.00915,0.00145,0.0225633179135782,0.0321388894125423,20000,102,topFrac,0.1,topFrac=0.1
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,topFrac,0.1,topFrac=0.1
full,Proposed detector,0.802184,0.428,0.402,0.00895,0.001,0.0326511664921854,0.0485295903947478,20000,102,topFrac,0.2,topFrac=0.2
uniform_weight,Uniform-weight variant,0.7963,0.418,0.392,0.00945,0.00105,0.0158103881318879,0.0208510450276988,20000,102,topFrac,0.2,topFrac=0.2
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,topFrac,0.2,topFrac=0.2
full,Proposed detector,0.804256,0.428,0.398,0.0084,0.00105,0.0250503112027805,0.0362929698644712,20000,102,topFrac,0.3,topFrac=0.3
uniform_weight,Uniform-weight variant,0.802336,0.422,0.388,0.0098,0.00105,0.0121684983878616,0.0162218323028004,20000,102,topFrac,0.3,topFrac=0.3
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,topFrac,0.3,topFrac=0.3
full,Proposed detector,0.804056,0.434,0.396,0.0087,0.00115,0.020170839696084,0.0281111647631472,20000,102,topFrac,0.4,topFrac=0.4
uniform_weight,Uniform-weight variant,0.8056,0.426,0.388,0.01025,0.001,0.00984902127993862,0.0132087134628659,20000,102,topFrac,0.4,topFrac=0.4
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,topFrac,0.4,topFrac=0.4
full,Proposed detector,0.849936,0.462,0.418,0.0102,0.00075,0.0474721212738869,0.0637480483688419,20000,103,topFrac,0.1,topFrac=0.1
uniform_weight,Uniform-weight variant,0.827432,0.466,0.438,0.0104,0.0011,0.0193560306042709,0.0254912065947789,20000,103,topFrac,0.1,topFrac=0.1
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,topFrac,0.1,topFrac=0.1
full,Proposed detector,0.848124,0.434,0.354,0.00895,0.001,0.034681874521888,0.0498493409186364,20000,103,topFrac,0.2,topFrac=0.2
uniform_weight,Uniform-weight variant,0.832644,0.472,0.422,0.0101,0.00105,0.0130517629155393,0.0171615338950244,20000,103,topFrac,0.2,topFrac=0.2
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,topFrac,0.2,topFrac=0.2
full,Proposed detector,0.847696,0.438,0.304,0.0093,0.00115,0.0259499091112954,0.0364746662987682,20000,103,topFrac,0.3,topFrac=0.3
uniform_weight,Uniform-weight variant,0.834076,0.47,0.414,0.01,0.0008,0.0100266520704625,0.0133396493438863,20000,103,topFrac,0.3,topFrac=0.3
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,topFrac,0.3,topFrac=0.3
full,Proposed detector,0.848392,0.436,0.258,0.00925,0.00095,0.0210275871813508,0.0299070844942871,20000,103,topFrac,0.4,topFrac=0.4
uniform_weight,Uniform-weight variant,0.83452,0.472,0.402,0.01005,0.0008,0.00818313036595513,0.0109726781311004,20000,103,topFrac,0.4,topFrac=0.4
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,topFrac,0.4,topFrac=0.4
full,Proposed detector,0.822076,0.47,0.418,0.00935,0.0008,0.0498301344217215,0.0824179982212996,20000,104,topFrac,0.1,topFrac=0.1
uniform_weight,Uniform-weight variant,0.808264,0.438,0.406,0.0081,0.001,0.0252015083235432,0.0346907443990536,20000,104,topFrac,0.1,topFrac=0.1
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,topFrac,0.1,topFrac=0.1
full,Proposed detector,0.826264,0.444,0.412,0.00875,0.0016,0.0355181616710161,0.0470170303195883,20000,104,topFrac,0.2,topFrac=0.2
uniform_weight,Uniform-weight variant,0.819796,0.438,0.404,0.008,0.0015,0.0166892068402688,0.0209139866840282,20000,104,topFrac,0.2,topFrac=0.2
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,topFrac,0.2,topFrac=0.2
full,Proposed detector,0.828584,0.452,0.414,0.00845,0.0012,0.0270543752323705,0.0364619710380917,20000,104,topFrac,0.3,topFrac=0.3
uniform_weight,Uniform-weight variant,0.824188,0.438,0.402,0.0083,0.0014,0.0122594155674562,0.0159448176533408,20000,104,topFrac,0.3,topFrac=0.3
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,topFrac,0.3,topFrac=0.3
full,Proposed detector,0.828524,0.458,0.412,0.0088,0.0013,0.0218635656299077,0.0298450618541171,20000,104,topFrac,0.4,topFrac=0.4
uniform_weight,Uniform-weight variant,0.824172,0.442,0.406,0.00865,0.0015,0.00969991780433778,0.0126063844138447,20000,104,topFrac,0.4,topFrac=0.4
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,topFrac,0.4,topFrac=0.4
full,Proposed detector,0.833152,0.452,0.412,0.0092,0.0002,0.0402910733116523,0.0757551513038106,20000,105,topFrac,0.1,topFrac=0.1
uniform_weight,Uniform-weight variant,0.813304,0.456,0.416,0.0098,0.00035,0.0176951642368253,0.0309999996658489,20000,105,topFrac,0.1,topFrac=0.1
global_only,Global-pooling variant,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,topFrac,0.1,topFrac=0.1
full,Proposed detector,0.838836,0.454,0.416,0.01025,0.00085,0.0285227483168127,0.0417259721991083,20000,105,topFrac,0.2,topFrac=0.2
uniform_weight,Uniform-weight variant,0.825056,0.444,0.418,0.01035,0.0008,0.0123506837912566,0.0181236239344715,20000,105,topFrac,0.2,topFrac=0.2
global_only,Global-pooling variant,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,topFrac,0.2,topFrac=0.2
full,Proposed detector,0.842244,0.454,0.422,0.00975,0.00105,0.0223989028139312,0.0321664786924693,20000,105,topFrac,0.3,topFrac=0.3
uniform_weight,Uniform-weight variant,0.831292,0.448,0.424,0.0107,0.00105,0.00960394735212455,0.0132609766637255,20000,105,topFrac,0.3,topFrac=0.3
global_only,Global-pooling variant,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,topFrac,0.3,topFrac=0.3
full,Proposed detector,0.843956,0.456,0.42,0.009,0.00135,0.0183880763819489,0.0261928032684119,20000,105,topFrac,0.4,topFrac=0.4
uniform_weight,Uniform-weight variant,0.834248,0.45,0.424,0.01095,0.001,0.00789102804627079,0.0109617742939999,20000,105,topFrac,0.4,topFrac=0.4
global_only,Global-pooling variant,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,topFrac,0.4,topFrac=0.4
full,Proposed detector,0.812952,0.372,0.262,0.0095,0.00105,0.0240574749997539,0.0298692031841329,20000,101,aggAlpha,0.2,aggAlpha=0.2
uniform_weight,Uniform-weight variant,0.797584,0.322,0.21,0.0089,0.001,0.0133856585834047,0.0161518542486143,20000,101,aggAlpha,0.2,aggAlpha=0.2
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,aggAlpha,0.2,aggAlpha=0.2
full,Proposed detector,0.809848,0.396,0.316,0.0095,0.00115,0.0339611970763349,0.0405161756324425,20000,101,aggAlpha,0.4,aggAlpha=0.4
uniform_weight,Uniform-weight variant,0.796656,0.342,0.208,0.0089,0.00085,0.0193327794781403,0.0231407536872885,20000,101,aggAlpha,0.4,aggAlpha=0.4
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,aggAlpha,0.4,aggAlpha=0.4
full,Proposed detector,0.805848,0.398,0.338,0.0094,0.00105,0.0441904352345882,0.0527046500087121,20000,101,aggAlpha,0.6,aggAlpha=0.6
uniform_weight,Uniform-weight variant,0.794372,0.35,0.206,0.00905,0.001,0.025482532994685,0.0302536827137033,20000,101,aggAlpha,0.6,aggAlpha=0.6
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,aggAlpha,0.6,aggAlpha=0.6
full,Proposed detector,0.801152,0.402,0.348,0.00995,0.00105,0.0545383254550761,0.0651118648119634,20000,101,aggAlpha,0.8,aggAlpha=0.8
uniform_weight,Uniform-weight variant,0.791568,0.356,0.198,0.0098,0.0011,0.0315471839819155,0.0375209839667973,20000,101,aggAlpha,0.8,aggAlpha=0.8
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,aggAlpha,0.8,aggAlpha=0.8
