MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,TrainSize,GroupLabel
uniform_weight,Uniform-weight variant,0.82226,0.456,0.436,0.01045,0.00095,0.0162069839219459,0.0224262519845289,20000,105,20,Train=20
global_only,Global-pooling variant,0.795672,0.45,0.412,0.0108,0.0014,0.00431257214735932,0.00655177057809309,20000,105,20,Train=20
full,Proposed detector,0.860472,0.434,0.394,0.0104,0.0008,0.0295938196332822,0.0436383683386771,20000,105,40,Train=40
uniform_weight,Uniform-weight variant,0.848476,0.452,0.426,0.0103,0.0009,0.0126846883447862,0.0172699942179208,20000,105,40,Train=40
global_only,Global-pooling variant,0.833944,0.452,0.406,0.01015,0.0017,0.00311824321510723,0.00468195724672632,20000,105,40,Train=40
full,Proposed detector,0.841792,0.442,0.416,0.00905,0.00085,0.0358465742301414,0.0489944899091295,20000,105,80,Train=80
uniform_weight,Uniform-weight variant,0.834552,0.44,0.42,0.01035,0.00095,0.0149055154072186,0.0204260640183237,20000,105,80,Train=80
global_only,Global-pooling variant,0.812532,0.442,0.398,0.0102,0.0009,0.00418276850215158,0.00645328257484638,20000,105,80,Train=80
full,Proposed detector,0.83412,0.448,0.422,0.01015,0.00065,0.0314065114688181,0.0476003913118551,20000,105,160,Train=160
uniform_weight,Uniform-weight variant,0.816412,0.442,0.424,0.0097,0.00085,0.0126402053596706,0.0187441172956132,20000,105,160,Train=160
global_only,Global-pooling variant,0.781776,0.446,0.424,0.011,0.0014,0.00332430293888652,0.00510944614205789,20000,105,160,Train=160
